n_151_2_1_0,現金当座頂金営業外受取手形売持金売買目的有価証券仮払法人税等商品繰越商前車両車両減価償却計額備唱備品減価償却貯計額チ会社株式関連会社株式その他有価証券繰延税金資産買掛金未払法人税等繰延税金負債貸倒引当金その他有価証券評価共金売上売上割引有価証券評価益還定資産売却益避付法人税等仁入減価償却費有価証券評価損固定資産売却損法人税、住民税及び事業移追徴法人税等法人税等調整領損益本店支店
n_151_2_1_1,1.京都に支店を開設することになり、本店から現金\8.500.000、商品(原価:\6.100.000、売価:\9.700.000)およびトラック(取得価額:\3.800.000、減価償郊累計額:\760.000)が移管された。支店独立会計制度を導入したときの支店側の仕訳を答えなさい。ただし、当社は商品売買の記農を「販売のつど売上原価勘定に振り替える方法」、有形固定資産の減価償却に係る記帳を間接法によっている。
n_151_2_1_2,2.決算に際して、長期投資目的で1株当たり\1.000にて取得していた山陽重工業株式会社の株式10.000価を時価評価(決算時の時価:1株当たり\1.200)し、全部純資産直入法を適用した。ただし、法定実効税率30%とする税効果会計を適用する。なお、山陽重工業株式会社は当社の子会社にも関連会社にも該当しない。
n_151_2_1_3,3.得意先に「当社の規定に従い、一定数量以上の商品を注文した大口の上客に対し、代金の0.5%祖当鈴の文払いを免除する]という連絡を入れ、当社の当座聞金口座から得意先の凶金口座に\19.000を振り込んだ。
n_151_2_1_4,4.過年度に納付した法人税に関して、税務当局から追徴の指摘を受け、追加で\360.000を支払うようにとの通知が届いたため、人負債の計上を行った。
n_151_2_1_5,5.平成26年4月1日に\600.000で取得した備品(耐用年数10年)を、平成30年12月31日に\119.000で完却し、代金は相手先振出の約東手形を受け取った。当社の決算日は3月末日であり、減価償却は200%定率法、記帳を間接法によっている。売却した年度の減価償却費は月割計算で算定すること。
n_151_2_2_1,第2問(20点)次に示した広島商事株式会社の[資料]にもとづいて、答案用紙の株主質本等変動計算書(単位:千円)について、()に適切な金額を記入して完成しなさい。金額が負の値のときは、人金額の前にへを付して示すこと。なお、会計期間は平成29年4月1日から平成30年3月31日までの1年間である。[資料]1.平成29年3月31日の決算にあたって作成した貸借対照家において、純資産の部の各科目の残高は次のとおりであった。なお、この時点における発行済株式総数は50.000株である。資本金\20.000.000資本準備金\1.600.000その他資本剰余金\500.000利益準備金\400.000別途積立金\220.000繰越利益剰余金\1.200.0002.平成29年6月28日、定時株主総会を開催し、剰余金の配当および処分を次のように決定した。①株主への配当金について、その他資本剰余金を財源として1株につき\5、繰越利益剰余金を財源として1株につき\15の配当を行う。②上記の配当に関連して、会社法が定める金額を資本準備金および利益準備金として積み立てる。③繰越利益剰余金を処分し、別途積立金として\80.000を積み立てる。3.平成29年9月1日、新株1.000株を1株につき\500で発行して増資を行い、全額の払込みを受け、払込金は当座預金とした。なお、会社法が定める最低限度額を資本金とした。4.平成30年2月1日、岡山物産株式会社を吸収合併し、同社の語資産(時価総額\9.000.000)と諸負債(時価総額\5.000.000)を引き継ぐとともに、合併の対価として新株8.000株(1株当たりの時価は\550)を発行し、同社の株主に交付した。なお、新株の発行にともなう純資産(株主資本)の増加額のうち、\3.000.000は資本金とし、残額はその他資本剰余金として計上した。5.平成30年3月31日、決算を行い、当期純利益\980.000を計上した。
n_151_2_3_1,"第3間(20点)次の資料にもとづいて、X4年度(X3年4月1日からX4年3月31日まで)の連結精算表(連結貸借対照表と連結損益計算書の部分)を作成しなさい。[資料]1.P社は親会社であり、子会社であるS1社とS2社の概要は、次のとおりであった。1)S1社は、了社がXO年3月31日にS1社の発行済株式総数(5.000株)の80%を170.000千円で取得して支配を獲得し、それ以降P社はS1社を連結子会社として連結財務諸表を作成している。XO年3月31日のS1社の純資産の部は、次のとおりであった。資本金。120.000千円資本剰余金30.000千円利益剰余金30.000千円S1社は支配獲得後に配当を行っておらず、また、のれんは20年にわたり定額法で償却を行っている。S1社は、P社から機器を仕入れ、西日本地域で販売しているが、これ以外にS1社が独自に仕入れて販売を行っている商品もある。(2)、S2社は、P社の100%所有子会社として、資本金100.000千円で、当期の期首(X3年4月1日)に設立され、P社およびS1社の販売した機器の据付け工事の役務を提供するとともに、単発又は長期の契約にもとづき、保守サービスを提供している。S2社は、P社から建物を賃催しており、その人折借料は、販売費及び一般管理費に計上されている。2.連結会社(P社、S1社およびS2社)問の債権債務残高および取引高は、次のとおりであった。P社からS1社S1社からP社売掛金160.000千円買持金160.000千円貸付金100,.000千円借入金100.000千円未収入金8,000千円未払金8.000千円売上高660,000千円仕入(売上原価)660.000千円受取利息1.500千円支払利息1.500千円P社からS2社S2社からP社据付費(売上原価)96.000千円役務収益96.000千円未収収益500千円未払費用0千円買掛金25.000千円売掛金25,000千円貸付金40.000千円借入金40.000千円賃貸資産受取家賃2.700千円支払家賃2.700千円受取利息1.700千円支払利息1.200千幅なお、S2社では支払利息を支払時に計上していたため、P社に対する既経過の未払利息500千円が未計上となっていた。"
n_151_2_3_2,"S1社からS2社S2社からS1社据付費(売上原価)84.000千円役務収益84.000千円買掛金12.000千円売持金12.000千円3.3年度末とX4年度未にS1社が保有する商品のうちP社から仕入れた商品は、それぞれ120.000千円と150.000千円であった。了P社がS1社に対して販売する商品の売上総利益率は、2年度とも30%であった。4.P社がS2社から受け取っている賃貸料は、建物の減価償却費に20%を加算したものとなっている。連結財務諸表の作成上で消去仕訳を行った結果によって、費用収益の対応が適切でなくなる場合には、該当する費用を適切な科目に振り替える。5.P社はX4年度中に土地(帳稚価額126,300千円)を、S2社に対して134.000千円で売却した。"
n_151_2_4_1,"工業短記第4問(20点)当工場には、2つの製造部門(第一製造部と第二製造部)と1つの補助部門(修繕部)があり、製造間接費について部門別計算を行っている。補助部門費は製造部門に予定配呆し、製造部門費は製品に予定配している。修繕部費の配肛基準は修繕時間、第一製造部費と第二製造部費の配上基準は機械稼働時間である。次の[資料]にもとづいて、下記の間に答えなさい。[資料]1.年間予算部門別配肛表ハハハハやハハべべねべべへWWつつ4|製造部門補助部門費目合計madiuuiudIIII|-|第製造部第二製造部修精部部門算|88000.000|45.600000|36.800.00|5.600000.製造部門費|88.000000|5シー|51_(注)?は各自計算すること。2.年間予定修繕時間第一製造部600時間第二製造部800時間3.年間予定機械稼働時間第一製造部8.000時間第二製造部20.000時間4.当月の実際機械稼働時間第一製造部690時間第二製造部1.720時間5.当月の実際修繕時間修繕部費は予定配駄率に実際修繕時間を乗じて、第一製造部と第二製造部に配過する。第一製造部52時間第二製造部72時間6.当月の実際部門費(補助部門費配駄前)第一製造部3.957,000円第二製造部3.238.000円修繕部502,200円問1修繕部費の予定配央率を計算しなさい。間2第一製造部費と第二製造部費の了予定配肛率を計算しなさい。間3当月の第一製造部費と第二製造部費の予定配嘩額を計算しなさい。間4当月の修繕部費の配肛差異を計算しなさい。借方差異か貸方差異かを明示すること。間5当月の第一製造部費の配敗差異を計算しなさい。借方差異か貸方差異かを明示すること。"
n_151_2_5_1,第5問(20点)A社は、同一工程で等級製品X、Yを連続生産している。製品原価の計算方法は、1か月の完成品総合原価を製品1枚当たりの重量によって定められた等価係数に完成品量を乗じた積数の比で各等級製品に投分する方法を採用している。次の[資料]にもとづいて、下記の間に答えなさい。なお、原価投入額合計を完成品総合原価と月末仕掛晶原価に配分する方法には先和先出法を用い、正常仕損は工程の途中で発生したので、度外視法によること。この仕損品の処分価額はゼロである。[資料]1.生産データ月初仕掛品1.000枚(50%)当月投入10.000合計11.000枚正常仕損品1.000月末仕掛品2.000(50%)完成品。8.000枚(注)完成品は、Xが6.000枚、Yが2.000枚である。また、材料は工程の始点で投入し、()内は加工費の進捗度である。2.原価データ月初仕掛品原価直接材料費700.000円加工費900.000小計1.600.000円当月製造費用直接材料費7.200.000円加工費13.600.000小計20.800.000円22.400.000円3.製品1枚当たりの重量(単位:g)X300Y100間1積数の比である等価比率の計算表を完成しなさい。間2当月の月末仕掛品原価を計算しなさい。間3当月の完成品総合原価を計算しなさい。間4等級製品Xの完成品単位原価を計算しなさい。問5等級製品Yの完成品単位原価を計算しなさい。
